,review,aspect_terms,sentiment_score,sentiment_category
8135,across  all  the  company,company,0.0,neutral
8136,"even  in  its  partner  companies  (capta,",partner companies,0.0,neutral
8137,Because  we  have  more,,0.0,neutral
8138,"and  a  lot  of  travelers  and  home  workers,  Umbrella  is",travelers umbrella,0.0,neutral
8139,to  ensure  security  inside,security,0.0,neutral
8140,and  outside  of  our  organization.,organization,0.0,neutral
8141,The best Umbrella ever!!,umbrella,0.7,positive
8142,using  Cisco  Umbrella,umbrella,0.0,neutral
8143,to  protect  our  work  stations,work,0.0,neutral
8144,we  have  a  massive  portion  of,portion,0.0,neutral
8145,our  company  network.,network,0.0,neutral
8146,is  allowing  us  to  avoid,,0.0,neutral
8147,using  the  VPN  Connection  to  access,vpn connection access,0.0,neutral
8148,"sites  or  applications,  simplifying  the  way",sites applications way,0.0,neutral
8149,a Security Must Have.,security,0.0,neutral
8150,We  use  Cisco  Umbrella  to  secure,umbrella,0.4,positive
8151,our  organization  tarting  with  DNS-layer  protection.,organization protection,0.0,neutral
8152,helps  us  starting  at  the  Internet  layer,layer,0.0,neutral
8153,"IP  addresses,  and  cloud  applications",addresses applications,0.0,neutral
8154,a  connection  is  ever  established.,connection,0.0,neutral
8155,We  have  the  ability  to  approve  apps  for  or  organization,ability apps,0.0,neutral
8156,being  blocked  in  real  time.,,0.2,positive
8157,Cisco Umbrella Review.,review,0.0,neutral
8158,"using  it  for  resolving  URL,  DNS",url,0.0,neutral
8159,"protection,  evaluating  the  web  proxy.",protection proxy,0.0,neutral
8160,We  started  the  POC,,0.0,neutral
8161,on  a  single  part  of  the  company,part company,-0.071,negative
8162,and  we  extended  it  to  the  entire  organization.,organization,0.0,neutral
8163,We  are  looking  forward  to  deploying  some  appliances,appliances,0.0,neutral
8164,trying  to  resolve  malicious  websites.,websites,0.0,neutral
8165,My Cisco Umbrella Review.,review,0.0,neutral
8166,is  being  used  organization-wide,,0.0,neutral
8167,amongst  all  of  our  departments.,departments,0.0,neutral
8168,It  helps  us  serve  as,,0.0,neutral
8169,"our  ""first  line  of  defense""  against  internet",line defense internet,0.25,positive
8170,Cisco Umbrella Review.,review,0.0,neutral
8171,It  is  being  used  across  our  organization,organization,0.0,neutral
8172,"and  several  clients,  we  use  Cisco  Umbrella",umbrella,0.0,neutral
8173,for  workstation  protection.,protection,0.0,neutral
8174,Hop under my umbrella!.,hop umbrella,0.0,neutral
8175,We  use  Umbrella  as  a  content  filter  and,umbrella content filter,0.0,neutral
8176,across  the  whole  organization,organization,0.2,positive
8177,when  endpoints  are  not  behind  one  of  our  central  firewalls.,endpoints firewalls,0.1,positive
8178,"the  ease  of  deployment,  the  rich  statistics",deployment,0.375,positive
8179,"supplies,  and  the  great",supplies,0.8,positive
8180,It  also  protects  our  VPN  users,vpn users,0.0,neutral
8181,when  they  are  not  connected.,,0.0,neutral
8182,Umbrella DNS Filtering for Everyone.,,0.0,neutral
8183,using  Cisco  Umbrella,umbrella,0.0,neutral
8184,Our  entire  organization  uses  DNS  forwarded  to  Cisco  Umbrella.,organization dns umbrella,0.0,neutral
8185,use  the  Cisco  Umbrella,umbrella,0.0,neutral
8186,loaded  into  the  Cisco,,0.0,neutral
8187,Secure  Mobility  Client,,0.4,positive
8188,Cisco  Umbrella  adds  another  layer  of  security  to,umbrella layer security,0.0,neutral
8189,our  multi-layered  setup,setup,0.0,neutral
8190,at  an  affordable  price.,price,0.0,neutral
8191,An MSP Perspective on Cisco Umbrella.,perspective,0.0,neutral
8192,We  use  Cisco  Umbrella  internally,umbrella,0.0,neutral
8193,use  it  as  an  important  security  tool,use tool,0.4,positive
8194,for  most  of  our  customers.,customers,0.0,neutral
8195,We  use  it  for  DNS,dns,0.0,neutral
8196,encryption/web  security,security,0.0,neutral
8197,well  as  content  filtering.,content filtering,0.0,neutral
8198,Cisco Umbrella Has You Covered!.,,0.0,neutral
8199,Our  company  uses  Cisco  Umbrella  client,company client,0.0,neutral
8200,to  leave  accessible  for  public  consumption.,consumption,0.188,positive
8201,We  filter  websites  and,websites,0.0,neutral
8202,we  want  to  allow  for  one,,0.0,neutral
8203,Cisco  Umbrella  allowed  us  to  gain,gain,0.0,neutral
8204,the  web  is  being  used  in  our  organization.,web organization,0.0,neutral
8205,"It  allows  us  to  immediately  protect  against  malware,  phishing,",malware,0.0,neutral
8206,our  network  and  mobile,network mobile,0.0,neutral
8207,"Cisco Umbrella, formely OpenDNS in daily use.",use,0.0,neutral
8208,It  is  used  for  DNS,dns,0.0,neutral
8209,at  our  servers  and  clients.,servers clients,0.0,neutral
8210,All  clients  are  secured  by  Umbrella,clients umbrella,0.4,positive
8211,operating  the  service.,service,0.0,neutral
8212,because  the  very  critical  destinations  are  filtered  and  the  client,destinations client,0.0,neutral
8213,"can  not  access  the ""source.[It s]",access,0.0,neutral
8214,""",  very  easy  to  use  at  firewalls  and  routers,  too.",firewalls routers,0.433,positive
8215,We  use  Cisco  Umbrella,umbrella,0.0,neutral
8216,protection  on  workstations.,protection workstations,0.0,neutral
8217,The  performance  of  Umbrella  is  impressive  for  it,performance umbrella,1.0,positive
8218,is  a  cloud-native  service,service,0.0,neutral
8219,"""It s"",  a  smart  proxy",proxy,0.214,positive
8220,that  only  routes  the  traffic  to  risky  destinations,routes traffic destinations,0.0,neutral
8221,through  its  network,network,0.0,neutral
8222,and  the  safe  content  is  accessed  directly,content,0.3,positive
8223,when  they  are  on  or  off,,0.0,neutral
8224,the  corporate  network  by  installing  a  light  client.,network client,0.2,positive
8225,The  problem  is  that  there  is  still,problem,0.0,neutral
8226,no  support  for  roaming,support,0.0,neutral
8227,Android  and  Linux  devices.,devices,0.0,neutral
8228,Cisco Umbrella for the win!.,win,0.8,positive
8229,the  decision  came  down  to  figuring  out,decision,0.0,neutral
8230,how  to  manage  our  zone,zone,0.0,neutral
8231,and  getting  control  of,control,0.0,neutral
8232,were  accessing  the  internet.,internet,0.0,neutral
8233,The  Enterprise  has  the  responsibility,enterprise responsibility,0.0,neutral
8234,to  defend  its  little  corner  of,corner,-0.188,negative
8235,the  Internet  and  Umbrella  provided  the  capability,internet umbrella capability,0.0,neutral
8236,what  systems  are  looking  up  in,systems,0.0,neutral
8237,the  DNS  provides  valuable  information,dns information,0.0,neutral
8238,that  drives  a  portion  of  our  security  process.,portion process,0.0,neutral
8239,also  provides  an  added  layer  of  protection  by  having  mechanisms,layer protection mechanisms,0.0,neutral
8240,to  block  access  to  known,block access,0.0,neutral
8241,"malicious  domains  and  URLs,",domains urls,0.0,neutral
8242,a  plus  for  any  company,company,0.0,neutral
8243,we  face  as  network  defenders,defenders,0.0,neutral
8244,: The only way to go..  We  implemented  Cisco  Umbrella,way umbrella,0.0,neutral
8245,"as  a  means  to  protect  our  environment  from  drive-by  downloads,  malware,",environment drive downloads,-0.312,negative
8246,"Since  implementation,  we  have  decreased  our  occurrences  by  approximately  70%.",implementation occurrences %,-0.4,negative
8247,and  requires  very  little  time,,-0.188,negative
8248,and  protects  the  environment,environment,0.0,neutral
8249,ever  gets  to  the  network.,network,0.0,neutral
8250,Cisco Umbrella - Good DNS Protection.,protection,0.7,positive
8251,We  use  Cisco  Umbrella,umbrella,0.0,neutral
8252,protection  on  workstations  by  using  the  roaming  client,protection workstations client,0.0,neutral
8253,and  we  also  use  the  virtual  machines,machines,0.0,neutral
8254,that  integrate  with  Active  Directory  for  DNS,directory dns,-0.133,negative
8255,It  provides  protection  against  potentially  malicious  websites  and,protection websites,0.0,neutral
8256,Umbrella provides powerful cloud-based top-level filtering and protection for all kinds of networks.,filtering protection kinds networks,0.45,positive
8257,"since  it  was  Open  DNS,",dns,0.0,neutral
8258,and  use  it  primarily,,0.4,positive
8259,to  protect  users  who  are  connecting  on-site  or,users site,0.0,neutral
8260,"remotely  from  stumbling  into  or  exposing  our  network  to  problematic  content,",network content,-0.05,negative
8261,"especially  malware,  etc.",,0.0,neutral
8262,diverse  range  of  users,range users,0.0,neutral
8263,"on  the  network,  many  of  whom  bring  their  own  devices, """,network devices,0.5,positive
8264,to  have  DNS-level  security  rather  than  count  on  everyone,security,0.0,neutral
8265,to  use  safe  internet  practices.,practices,0.5,positive
8266,it's weight for sure.,weight,0.5,positive
8267,with  7000  endpoints,endpoints,0.0,neutral
8268,Umbrella  is  not  optional,,0.0,neutral
8269,"While  antivirus  is  required,  it  serves  as  a  checkbox.",antivirus checkbox,0.0,neutral
8270,Umbrella  is  what  does  all  of,,0.0,neutral
8271,on  the  antimalware  side  of  things.,antimalware side things,0.0,neutral
8272,"first  layer  of  defense,  we  are  using  2  Layers  of  Proxies,  first  commonly  used  web",defense layers proxies web,0.067,positive
8273,on  the  top  of  this,top,0.5,positive
8274,which  protect  our  company,company,0.0,neutral
8275,on  a  DNS  level Useful for rapid Investigations.,level investigations,0.3,positive
8276,I  used  Cisco  Umbrella,umbrella,0.0,neutral
8277,if  some  of  our  customers  were  affected  and  block,customers block,0.0,neutral
8278,We  also  found  several  other  indications  of  compromises  that  helped  us  to  localize  other  infections  on  endpoints,indications compromises infections endpoints,0.0,neutral
8279,and  correctly  review,review,0.0,neutral
8280,our  security  policies.,policies,0.0,neutral
8281,Cisco Umbrella keeps you protected.,,0.0,neutral
8282,is  used  across  our  whole  organization  to  protect  the  network,organization network,0.2,positive
8283,"that  might  be  due  to  malware,  crypto  mining,",malware,-0.125,negative
8284,"command  and  control,  phishing  or  other  sources.",command control,0.0,neutral
8285,With  the  virtual  umbrella,umbrella,0.0,neutral
8286,appliances  connected  to  our  AD,appliances ad,0.0,neutral
8287,",  we  can  identify  the  computers",computers,0.0,neutral
8288,"that  might  be  infected,  but  stopped  from  talking  to  the  outside,",,0.0,neutral
8289,and  get  them  cleaned  quickly.,,0.35,positive
8290,"""It s"",  an  important  layer  of  DNS  security.",layer security,0.4,positive
8291,One of the best decisions we ever made..,decisions,0.7,positive
8292,We  made  the  decision,decision,0.0,neutral
8293,(when  it  was  Open  DNS)  in  2014,dns,0.0,neutral
8294,for  over  2000  endpoints,endpoints,0.0,neutral
8295,as  an  additional  protection  from  malware  and  phishing.,protection malware phishing,0.0,neutral
8296,"these  types  of  issues  plummet,  from  a  few  incidents",types issues incidents,0.0,neutral
8297,"in  the  ROI,  we  paid  for",roi,0.0,neutral
8298,this  service  ourselves,service,0.0,neutral
8299,as  a  cost  saving  measure.,cost measure,0.0,neutral
8300,"I ""don t"",  think ""we ll"",  ever  not  use  this  service!",service,0.0,neutral
8301,Great product and a must have for any organizatioin..,product,0.8,positive
8302,We  currently  use  Cisco  Umbrella  as  our  first  line  of  defense  against  threats  from  the  internet.,umbrella line defense threats internet,0.125,positive
8303,It  is  currently  being  used  across,,0.0,neutral
8304,around  current  and  emerging,,0.0,neutral
8305,"threats  and  protects  us  against  the  phishing,",threats phishing,0.0,neutral
8306,"malware,  and  ransomware.",ransomware,0.0,neutral
8307,"Used  within  remote  offices,  offsetting  the  smart",offices,0.057,positive
8308,filtering  into  the  cloud,cloud,0.0,neutral
8309,instead  of  on-premise.,premise,0.0,neutral
8310,Protects  from  malicious,,0.0,neutral
8311,that  is  policy  based.,policy,-0.8,negative
8312,OpenDNS Web Filtering is amazing!,filtering,0.6,positive
8313,Filtering  is  being  used  by  HSL  to  help,hsl help,0.0,neutral
8314,implement  ISO  27001:2013.,27001:2013,0.0,neutral
8315,filtering  requirements,requirements,0.0,neutral
8316,required  to  pass  audit,audit,0.0,neutral
8317,and  obtain  certification.,certification,0.0,neutral
8318,primarily  implements  this  across  the  company,implements company,0.4,positive
8319,any  browsing  concerns  from  the  CISO  office,concerns,0.0,neutral
8320,Cisco Meraki Wireless Access by Mr. Bolom.,access,0.0,neutral
8321,to  deploy  and  administer  wireless,wireless,0.0,neutral
8322,the  concerns  of  growing,concerns,0.0,neutral
8323,Meraki APs value for money.,value money,0.0,neutral
8324,"""It s"",  being  used  in  our  whole  company.",company,0.2,positive
8325,"distributed  in  our  stores,",stores,0.0,neutral
8326,our  distribution  center,distribution center,-0.1,negative
8327,and  our  corporate  offices.,offices,0.0,neutral
8328,For  stores  our  wireless  infrastructure  is  used  for  business,stores infrastructure business,0.0,neutral
8329,and  also  for  client  navigation.,client,0.0,neutral
8330,"For  our  distribution  center """,distribution center,-0.1,negative
8331,"part  of  its  core,  for  product",part core product,0.0,neutral
8332,"registration  and  wireless  telephony,  and",registration telephony,0.0,neutral
8333,"in  the  corporate  offices ""it s"",  used  for  mobility",offices mobility,0.0,neutral
8334,for  laptops  and  cell  phones.,laptops phones,0.0,neutral
8335,Cisco Meraki MR Wireless Access Points.,points,0.0,neutral
8336,The  Cisco  Meraki  Wireless  Access,access,0.0,neutral
8337,in  use  across  the  entire  organization.,use organization,0.0,neutral
8338,secure  wireless  coverage,coverage,0.4,positive
8339,and  also  provides  visibility  into  what  is  happening  on  the  wireless  networks.,visibility networks,0.0,neutral
8340,Great Security Feature Set and Easy to Use and Deploy!.,,0.617,positive
8341,"Meraki  is  being  used  across  our  entire  organization,  which",organization,0.0,neutral
8342,includes  offices  from  the  West  Coast  to  the  East  Coast.,offices west coast east coast,0.0,neutral
8343,We  use  it  to  manage  our  domain  and,domain,0.0,neutral
8344,It  is  scalable  and  easy  to  use.,use,0.433,positive
8345,A great solution for schools.,solution schools,0.8,positive
8346,in  our  school  district.,district,0.0,neutral
8347,We  currently  have  about  550,,0.0,neutral
8348,spread  between  15  locations.,locations,0.0,neutral
8349,Most  of  these  access,access,0.0,neutral
8350,"points  are  in  classrooms,",points classrooms,0.0,neutral
8351,"but  we  also  have  them  in  offices,",offices,0.0,neutral
8352,"such  as  gyms  and  auditoriums,  as  well  as  on  the  outside.",gyms auditoriums,0.0,neutral
8353,to  cover  just  about,,0.0,neutral
8354,"with  some  combination  of  Meraki ""AP s"",  and  antennas,  including  a  bus  compound",combination antennas compound,0.0,neutral
8355,where  buses  wirelessly  upload  their  surveillance,buses surveillance,0.0,neutral
8356,Easy as setting up your home network.,network,0.433,positive
8357,Mass deployment with simple setup..,deployment setup,0.0,neutral
8358,It  is  being  used  for  wireless,wireless,0.0,neutral
8359,networking  company-wide,networking,0.0,neutral
8360,for  when  users  complain  of,users,0.0,neutral
8361,The  Meraki  wireless  AP  is  used  by,,0.0,neutral
8362,my  entire  organization.,organization,0.0,neutral
8363,Ease  of  management  of  the  solution,management solution,0.0,neutral
8364,"""It s"",  being  used  to  provide  wireless",wireless,0.0,neutral
8365,to  hundreds  of  users,hundreds users,0.0,neutral
8366,to  have  roaming  access  across  different  areas.,access areas,0.0,neutral
8367,Meraki - Ease of management..,ease management,0.0,neutral
8368,"are  used  across  our  entire  organization,  including  multiple  departments.",organization departments,0.0,neutral
8369,"can  pull  reports,  configure,  and  manage  Access",reports access,0.0,neutral
8370,the  place  from  my  desk.,place desk,0.0,neutral
8371,we  had  various  vendors,vendors,0.0,neutral
8372,in  each  building  all,building,0.0,neutral
8373,with  a  different  management  client  or  protocol.,client protocol,0.0,neutral
8374,Meraki Makes Wireless Easy and Fun.,wireless,0.367,positive
8375,If  you  read  my  other  reviews  of,reviews,0.0,neutral
8376,Cisco  Meraki  products,products,0.0,neutral
8377,I  am  an  unabashed  lover  of  Meraki  cloud-managed  networking.,lover networking,0.0,neutral
8378,(AP)  offer  incredible,,0.9,positive
8379,"ease  of  installation,  configuration,  management,  and  monitoring.",installation management monitoring,0.0,neutral
8380,I  use  two  of  these  to  blanket,blanket,0.0,neutral
8381,because  the  APs  automatically  switch  devices  to  the  AP  with  the  strongest  signal  for  their  locations.,devices signal locations,0.433,positive
8382,Users  are  presented  with  a  single  SSID,users ssid,-0.036,negative
8383,"the  number  of  APs  present,  solving  the  issue  of",number issue,0.0,neutral
8384,when  the  old  one  is  out  of  range  as  they  move.,range,0.1,positive
8385,the  Meraki  products,products,0.0,neutral
8386,"on  my  account,  I  can  configure  and  monitor  them  from  a  single  dashboard.",account monitor dashboard,-0.071,negative
8387,Meraki's Z3 for Remote Workers is a WIN/WIN.,workers win,-0.1,negative
8388,"Specifically,  we  are",,0.0,neutral
8389,using  the  Z3  model  WAP.,wap,0.0,neutral
8390,We  needed  a  better,,0.5,positive
8391,solution  to  support,solution support,0.0,neutral
8392,across  the  entire  firm.,firm,-0.1,negative
8393,"system  the ""Merakis "",  replaced  was  very  time",system,0.0,neutral
8394,"a  remote  work  up  and  functional,  consumed",work,-0.1,negative
8395,that  was  impossible  to  attribute  to,attribute,-0.667,negative
8396,"and  when  we  needed  to  redeploy  an  existing  unit,  that  caused  a  lot  of  heartache",unit lot heartache,0.0,neutral
8397,well  as  the  networking  team.,team,0.0,neutral
8398,Meraki Wireless Access Points deploy and manage rapidly.,points,0.0,neutral
8399,"Wireless  is  being  used  on  a  departmental  basis,  testing  on",wireless basis,0.0,neutral
8400,both  corporate  and  public,,0.0,neutral
8401,trying  to  understand,,0.0,neutral
8402,the  capacity  limits  of  the  devices,capacity devices,0.0,neutral
8403,and  whether  they  are  suitable  for  running,,0.55,positive
8404,a  number  of  SSIDs  simultaneously.,number ssids,0.0,neutral
8405,Meraki makes it EASY.,,0.433,positive
8406,We  utilize  Cisco  Meraki,,0.0,neutral
8407,throughout  our  entire  internal  organization,organization,0.0,neutral
8408,well  as  to  provide  free  wireless  internet  to  thousands  of  residents  within  our  community.,internet thousands residents community,0.4,positive
8409,the  need  for  many  access,access,0.5,positive
8410,as  well  as  any  sort  of  access,sort access,0.0,neutral
8411,Cisco Meraki Access Points are great.,points,0.8,positive
8412,are  being  used  throughout  all  10,,0.0,neutral
8413,of  our  different  site  locations,locations,0.0,neutral
8414,"with  over  5,000  users",users,0.0,neutral
8415,on  the  APs  combined.,,0.0,neutral
8416,Currently  we  have  almost  1,,0.0,neutral
8417,devices  per  room  needing  wifi  connection.,devices room connection,0.0,neutral
8418,The  APs  allow  us  to  set  up,,0.0,neutral
8419,turn  on  different  SSIDs  to,ssids,0.0,neutral
8420,Meraki Wireless has a small business feel but big business delivery!.,feel delivery,-0.125,negative
8421,Wireless  is  the  sole  source,wireless source,0.0,neutral
8422,for  our  wireless  coverage,coverage,0.0,neutral
8423,for  not  only  internal  security,security,0.0,neutral
8424,but  our  guest  network.,network,0.0,neutral
8425,"to  provide  private ""SSID s"",  for  internal  camera  systems,",systems,0.0,neutral
8426,"smart  TVs,  and  other  equipment.",tvs equipment,0.214,positive
8427,Wireless  is  the  only  wireless  solution,wireless solution,0.0,neutral
8428,in  a  four-floor  office,office,0.0,neutral
8429,building  with  about,building,0.0,neutral
8430,employees  serviced  by  about  20,employees,0.0,neutral
8431,"our  wireless  network  needs  for  staff,  contractors,  guests,  and",network staff,0.0,neutral
8432,dedicated  technology,technology,0.0,neutral
8433,Cisco Meraki Wireless AP in small office environment.,environment,-0.25,negative
8434,"""I m"",  using  Meraki  Wireless",wireless,0.0,neutral
8435,in  our  customer  LAN,customer lan,0.0,neutral
8436,It  used  used  for  intra  traffic,traffic,0.0,neutral
8437,as  for  guests  to  access  the  Internet.,guests access internet,0.0,neutral
8438,the  Meraki  wireless  system  is  really  easy,system,0.433,positive
8439,to  separate  different,,0.0,neutral
8440,centralized  management  application.,application,0.0,neutral
8441,"Great solution for remote management, good performace if choose the correct device.",solution management performace device,0.467,positive
8442,using  these  devices  over  than  4  years.,devices years,0.0,neutral
8443,try  them  because  cloud  management  was  very  attractive  for  us.,management,0.8,positive
8444,So  we  start  to  use  it  for  one  of,,0.0,neutral
8445,"fine,  the  performance  is  good",performance,0.558,positive
8446,to  restart  the  devices,devices,0.0,neutral
8447,The  configuration  is  very  simple,configuration,0.0,neutral
8448,and  the  management  is  very  easy.,management,0.433,positive
8449,"Cisco Meraki AP's, The Pot 'O Gold at the end of a rainbow.",gold end rainbow,0.0,neutral
8450,throughout  our  entire  enterprise.,enterprise,0.0,neutral
8451,We  primarily  utilize  it  for  fast,,0.3,positive
8452,for  our  mobile  workstations,workstations,0.0,neutral
8453,on  our  manufacturing  floor.,floor,0.0,neutral
8454,"Additionally,  we  leverage",,0.0,neutral
8455,the  built  in  Cisco,,0.0,neutral
8456,corporate  owned  cellphones  and  laptops.,cellphones laptops,0.3,positive
8457,Problems  Addressed:1.,problems,0.0,neutral
8458,Maintaining  Compliance  with  NIST  800-171.,compliance,0.0,neutral
8459,We  must  maintain  compliance  due  to,compliance,-0.125,negative
8460,with  the  government.,government,0.0,neutral
8461,(Mobile  Device  Management),device management,0.0,neutral
8462,capabilities  enable  us  to  comply,capabilities,0.0,neutral
8463,with  the  requirements  driven  by  the  NIST  800-171  of  being  able  to,requirements,0.5,positive
8464,remotely  wipe  cellphones  and,cellphones,-0.1,negative
8465,in  event  of  misplacement  or  theft.2.,event misplacement,0.0,neutral
8466,Provides  a  level  of  scalability  that  enables  us  to  expand,level scalability,0.0,neutral
8467,our  Wi-Fi  coverage  quickly,coverage,0.333,positive
8468,Allows  us  to  create  policies,policies,0.0,neutral
8469,whether  or  not  the,,0.0,neutral
8470,device(s)  are  in  compliance.4.,,0.0,neutral
8471,"Allows  IT  personnel  to  fully  manage  the ""AP s"",  and  devices  from  one  pane  of  glass.",personnel devices glass,0.0,neutral
8472,The  Meraki  dashboard  is  cloud,dashboard cloud,0.0,neutral
8473,and  enables  us  to  manage  our  mobile  devices  as  well,devices,0.0,neutral
8474,as  our  wireless  infrastructure  from  any  internet  connected  computer.,infrastructure internet computer,0.0,neutral
8475,A perfect way to migrate WLAN administration and management to the cloud.,way administration management cloud,1.0,positive
8476,It  is  deployed  on  some  Sites,sites,0.0,neutral
8477,but  we  are  currently,,0.0,neutral
8478,to  standardize  on  all  sites.,sites,0.0,neutral
8479,",  the  Meraki  solution  is  fully  deployed",solution,0.0,neutral
8480,to  have  the  administration,administration,0.0,neutral
8481,and  the  simplicity  of  the  deployment  of  new,simplicity deployment,0.136,positive
8482,Points Meraki Wireless overall a Win.,win,0.4,positive
8483,a  construction  company,company,0.0,neutral
8484,we  have  many  temporary  offices,offices,0.5,positive
8485,during  the  length  of  the  job.,length job,0.0,neutral
8486,Meraki  makes  it  easy,,0.433,positive
8487,the  need  of  sending  a  tech  on  site.,tech site,0.0,neutral
8488,This  is  a  huge  plus.,,0.4,positive
8489,"The  fact  that  they  are  cloud  managed,  and  easy",fact cloud,0.433,positive
8490,to  deploy  is  great.,,0.8,positive
8491,A great Wireless solution.,solution,0.8,positive
8492,This  solution  is  in  place,solution place,0.0,neutral
8493,in  our  main  office,office,0.167,positive
8494,to  resolve  the  issues,issues,0.0,neutral
8495,we  had  with  wireless  blackspots  with  other  solutions.,blackspots solutions,0.0,neutral
8496,Our  company  is  currently  using  the  Meraki  APs,company,0.0,neutral
8497,for  our  retail  locations,locations,0.0,neutral
8498,well  as  our  corporate  office.,office,0.0,neutral
8499,the  features  of  the  interface,interface,0.0,neutral
8500,use  when  utilizing  the  interface.,interface,0.0,neutral
8501,The  WAPs  are  easy  to  install,waps,0.433,positive
8502,has  never  been  a  problem.,problem,0.0,neutral
8503,can  be  created  per  SSID  and  detecting  high  bandwidth,ssid bandwidth,0.16,positive
8504,with  the  web  interface.,interface,0.0,neutral
8505,Cisco Meraki Wireless WAN for SMB organizations.,organizations,-0.2,negative
8506,We  use  Meraki  Wireless,wireless,0.0,neutral
8507,(in  addition  to  Firewall  and  Switching)  for  our  entire  mesh  network  at  multiple  locations.,addition firewall switching network locations,0.0,neutral
8508,It  has  helped  us  resolve  issues,issues,0.0,neutral
8509,"related  to  connectivity,",connectivity,0.0,neutral
8510,"private  SSIDs,  WIP,",ssids wip,0.0,neutral
8511,but I'm going with the shinier model next time (meraki).,model,0.0,neutral
8512,Using  to  control  4,control,0.0,neutral
8513,throughout  the  enterprise.,enterprise,0.0,neutral
8514,and  the  ability  to  add,ability,0.0,neutral
8515,within  a  matter  of  moments,matter moments,0.0,neutral
8516,While  the  CLI  is  proficient  for  most  people,cli people,0.0,neutral
8517,being  implemented  before,,0.0,neutral
8518,the  change  is  superb.,change,1.0,positive
8519,"The most reliable, powerful and flexible Wireless Controller on the market.",controller market,0.3,positive
8520,"since  9  years  ago,  when  we  moved  from  a  small  deployment  of  20",years deployment,-0.25,negative
8521,or  so  access-points  being  controlled  by  1,points,0.0,neutral
8522,"a  new  approach  called  LWAPP  architecture,  where",approach architecture,0.136,positive
8523,the  Wireless  LAN  controller,controller,0.0,neutral
8524,manages  and  controls,controls,0.0,neutral
8525,we  had  a  huge  leap  in  administration,leap administration,0.4,positive
8526,"the  Wi  Fi  technology,  going  from  20  to  300",technology,0.0,neutral
8527,"the  last  9  years,  using  the  same  controller.",years controller,0.0,neutral
8528,"Besides  that,  we  could  improve  availability  having  2",availability,0.0,neutral
8529,working  simultaneously.,,0.0,neutral
8530,"Last,  but  not  least,  we  could  serve  several  remote  offices",offices,0.012,positive
8531,"with  the  same  controllers,  hosted  in  our  HQ.",controllers,0.0,neutral
8532,Cisco WLC is the brain of all Wireless Networks.,brain networks,0.0,neutral
8533,We  have  almost  50k,,0.0,neutral
8534,that  is  controlled  via  almost  32x,32x,0.0,neutral
8535,"The  WLCs  manages  the  collection  to  these  APs,",collection aps,0.0,neutral
8536,in  our  Wireless  Core  Network,network,0.0,neutral
8537,"All  the  RRM  features,",features,0.0,neutral
8538,"the  data  rate,  Rx  SOP,  all",rate sop,0.0,neutral
8539,the  roaming  decisions,decisions,0.0,neutral
8540,"the  Low  RSSI  thresholds,  the  Dynamic  Channel  Assignments  of  2.4/5  GHz,",thresholds channel,0.0,neutral
8541,the  Radius  Accounting,accounting,0.0,neutral
8542,"each  user  connections,  the  802.1x  security,  using  ISE  as  the  AAA.",user connections aaa,0.0,neutral
8543,Cisco WLC: the good and the bad..,good,0.0,neutral
8544,We  employ  multiple  Cisco  WLCs  of  multiple  types.,types,0.0,neutral
8545,We  provide  wired  and  wireless,,0.0,neutral
8546,at  43  convention  centers  nationwide.,convention centers,-0.1,negative
8547,We  deploy  Cisco  WLCs,,0.0,neutral
8548,at  each  convention  center,convention center,-0.1,negative
8549,to  manage  the  access,access,0.0,neutral
8550,Cisco WLC 5508 Success.,success,0.3,positive
8551,We  currently  have  7,,0.0,neutral
8552,With  the  eighth  being,,0.0,neutral
8553,an  anchor  controller,controller,0.0,neutral
8554,at  the  district  office.,office,0.0,neutral
8555,to  one  laptop  district.,district,0.0,neutral
8556,we  have  about  15000,,0.0,neutral
8557,they  can  take  home.,home,0.0,neutral
8558,Cisco Wireless LAN Controllers Review.,,0.0,neutral
8559,They  help  manage  the  ability,ability,0.0,neutral
8560,access  and  functionality  of,access functionality,0.0,neutral
8561,"departments,  employees  and  guest  access.",departments employees access,0.0,neutral
8562,We  use  it  to  manage  the  remote  office  and,office,-0.1,negative
8563,corporate  office  APs.,office,0.0,neutral
8564,"The  use  of  mobile  devices  has  increased,  which  is",use devices,0.0,neutral
8565,why  there  is  also  a  need,need,0.0,neutral
8566,"and  secure  wireless  infrastructure,  all  of  which",infrastructure,0.4,positive
8567,I  find  with  Cisco.,,0.0,neutral
8568,Cisco Wireless Controllers.,controllers,0.0,neutral
8569,It  is  being  used  by,,0.0,neutral
8570,for  a  borderless  network.,network,0.0,neutral
8571,"With  the  adoption  of  BYOD  technologies,  we  can  easily  move  with  trends",adoption technologies trends,0.433,positive
8572,This  is  most  certainly,,0.214,positive
8573,though  when  you  think  of  new  wireless  networks,networks,0.136,positive
8574,with  Wi-Fi  6  capabilities.,capabilities,0.0,neutral
8575,WLC  is  used  regionally  across  the  organization.,organization,0.0,neutral
8576,to  optimize  traffic  across  WAN.,traffic wan,-0.2,negative
8577,This  is  a  recent  implementation.,implementation,0.0,neutral
8578,also  helped  cloud  and,cloud,0.0,neutral
8579,implementation  and  usage,implementation usage,0.0,neutral
8580,across  a  particular  business  unit,unit,0.167,positive
8581,that  is  more  inclined  towards  cloud,cloud,0.0,neutral
